Date,Open,High,Low,Close,Volume,MA_50,MA_200,RSI,MACD
2020-10-15,150.10333251953125,152.19000244140625,147.5,149.6266632080078,107017200,134.27006591796874,75.65274651527405,62.96666223706377,4.327551087057657
2020-10-16,151.47999572753906,151.98333740234375,146.28334045410156,146.55667114257812,98327700,135.21509262084962,76.24210987091064,55.937772618586514,4.089144660517377
2020-10-19,148.74667358398438,149.0,142.9566650390625,143.61000061035156,108863400,136.15034591674805,76.81248987197876,53.6242585394055,3.620697022788079
2020-10-20,143.9166717529297,143.9166717529297,139.68333435058594,140.64666748046875,94968900,137.07185256958007,77.36520987510681,47.80694355697551,2.976026891439261
2020-10-21,140.89999389648438,144.31666564941406,140.4166717529297,140.8800048828125,97111500,138.05693267822267,77.9132565689087,41.0606685966244,2.4556424287011964
2020-10-22,147.30667114257812,148.41000366210938,141.50332641601562,141.92999267578125,119979600,138.8225192260742,78.45885986328125,54.74206855585252,2.1037089849272945
2020-10-23,140.6133270263672,140.9633331298828,135.7933349609375,140.2100067138672,101151000,139.46538604736327,78.99946323394775,47.64877440783506,1.6667969054083756
2020-10-26,137.2100067138672,141.9199981689453,136.6666717529297,140.0933380126953,84717600,140.06630615234374,79.54054658889771,53.279895749524314,1.2961851301316472
2020-10-27,141.25332641601562,143.5,140.03334045410156,141.55999755859375,68059500,140.44998611450194,80.07339324951172,49.6521567616267,1.1080469209109367
2020-10-28,138.82666015625,139.53334045410156,135.3333282470703,135.33999633789062,76354200,140.64066604614257,80.57078657150268,40.7148141946155,0.4518354411416112
2020-10-29,136.65333557128906,139.35333251953125,135.48666381835938,136.94332885742188,67965900,140.8748258972168,81.08266988754272,38.8487553915847,0.06046168571637622
2020-10-30,135.63333129882812,135.8633270263672,126.37000274658205,129.34666442871094,127533900,140.79265243530273,81.55823987960815,27.08225060014354,-0.8528609168155583
2020-11-02,131.3333282470703,135.66000366210938,130.76666259765625,133.50332641601562,87063300,140.7294123840332,82.0555898475647,31.762822461345166,-1.2271222740363328
2020-11-03,136.57666015625,142.58999633789062,135.56333923339844,141.3000030517578,103055100,140.8698124694824,82.5796898651123,36.172729060531196,-0.8844055741468253
2020-11-04,143.5399932861328,145.13333129882812,139.03334045410156,140.32666015625,96429300,140.97855911254882,83.09146982192993,38.90566984281159,-0.6834622302949924
2020-11-05,142.76666259765625,146.6666717529297,141.3333282470703,146.02999877929688,85243500,141.02826583862304,83.63088647842407,49.40885315868617,-0.06327205956640114
